Participant,Item,Order1,RT1,Condition,Duration1,ISI1,Cue_Color,Cue_Duration,Arousal,Valence,Enticement,Order2,RT2,Duration2,ISI2,Realness,Type,Category,Orientation,Norms_Arousal,Norms_Valence,Luminance,Contrast,Entropy,Complexity,Red,Green
S129,Female_008_v,1,9.996,Photograph,2500.0,500.0,red,1250.0,0.0,0.02,0.51,57,1.853,1000.0,500.0,1.0,Erotic,Female,v,4.7,6.4,52.8173,72.8334,7.4938,155798,1.2756,4.492
S129,Female_005_v,2,12.526,Photograph,2500.0,500.0,red,1250.0,0.28,0.04,0.38,52,3.114,1000.0,500.0,1.0,Erotic,Female,v,5.6,6.25,44.8525,70.3649,7.6863,270082,11.7249,10.9722
S129,Female_022_h,3,7.688,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.02,0.25,15,2.439,1000.0,500.0,0.45,Erotic,Female,h,6.1,7.05,56.5834,63.7769,7.3921,216160,15.4662,4.3765
S129,Faces_351_h,4,7.1,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.14,0.38,58,1.411,1000.0,500.0,1.0,Non-erotic,Faces,h,4.5,7.1,35.4262,73.7229,7.3716,170646,2.8311,6.4751
S129,Female_002_h,5,8.415,Photograph,2500.0,500.0,red,1250.0,0.13,0.32,0.7,25,1.482,1000.0,500.0,1.0,Erotic,Female,h,5.85,7.4,32.6608,57.3367,7.5265,428384,0.1224,13.5464
S129,Male_012_h,6,9.496,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.06,0.23,23,1.63,1000.0,500.0,1.0,Erotic,Male,h,2.95,3.55,76.3947,43.9723,7.2393,331233,4.1326,8.2885
S129,Female_001_h,7,7.615,AI-Generated,2500.0,500.0,blue,1250.0,0.01,-0.06,0.28,44,2.564,1000.0,500.0,0.5,Erotic,Female,h,5.3,6.9,58.36,49.2428,7.2143,249227,27.1818,10.7039
S129,Male_020_v,8,5.397,Photograph,2500.0,500.0,red,1250.0,0.0,-0.08,0.24,56,1.605,1000.0,500.0,0.28,Erotic,Male,v,3.25,3.95,76.8132,61.7412,7.1453,157062,4.0439,6.6188
S129,Female_011_h,9,9.857,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.16,0.34,5,2.196,1000.0,500.0,0.79,Erotic,Female,h,5.85,7.6,59.689,56.5583,7.4167,142606,7.0771,8.9211
S129,Faces_349_h,10,8.78,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.02,0.0,31,1.364,1000.0,500.0,0.55,Non-erotic,Faces,h,2.75,5.65,30.7027,59.0963,7.5596,215553,0.697,0.5981
S129,Male_025_v,11,5.743,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.22,0.0,49,1.439,1000.0,500.0,0.34,Erotic,Male,v,3.55,3.45,29.0652,60.357,6.8769,267633,2.7805,-0.966
S129,Male_005_v,12,10.016,Photograph,2500.0,500.0,red,1250.0,0.0,-0.38,0.0,60,1.45,1000.0,500.0,0.42,Erotic,Male,v,4.75,3.2,19.09,43.8873,6.7516,170084,11.4089,17.2027
S129,Faces_330_v,13,4.43,Photograph,2500.0,500.0,red,1250.0,0.0,-0.12,0.0,3,2.37,1000.0,500.0,1.0,Non-erotic,Faces,v,4.45,6.35,30.0082,41.7458,7.2395,325837,-0.4702,0.9357
S129,People_169_h,14,4.731,Photograph,2500.0,500.0,red,1250.0,0.0,0.12,0.0,6,1.607,1000.0,500.0,1.0,Non-erotic,People,h,4.15,6.6,54.9775,81.4202,7.7471,466618,0.3259,3.9071
S129,Male_007_h,15,4.937,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.22,0.0,27,2.07,1000.0,500.0,0.42,Erotic,Male,h,4.05,3.3,50.1922,54.4775,7.6965,469938,3.1066,14.9059
S129,People_176_h,16,4.448,Photograph,2500.0,500.0,red,1250.0,0.0,0.08,0.0,37,2.042,1000.0,500.0,1.0,Non-erotic,People,h,4.4,7.1,74.0151,69.2438,6.6467,271588,0.256,0.081
S129,Female_021_h,17,8.949,AI-Generated,2500.0,500.0,blue,1250.0,0.06,0.34,0.63,48,1.365,1000.0,500.0,0.88,Erotic,Female,h,6.3,7.1,62.5048,59.7605,7.3816,237825,8.8278,10.335
S129,Male_009_v,18,5.036,Photograph,2500.0,500.0,red,1250.0,0.0,-0.06,0.0,14,1.439,1000.0,500.0,1.0,Erotic,Male,v,2.85,4.45,43.2111,60.8704,7.489,271374,13.4711,15.6762
S129,Female_018_h,19,7.164,AI-Generated,2500.0,500.0,blue,1250.0,0.08,0.6,0.88,54,1.609,1000.0,500.0,0.67,Erotic,Female,h,6.5,7.45,73.3265,38.1936,6.9748,275330,3.457,12.5327
S129,Male_015_v,20,5.812,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.02,0.0,18,1.799,1000.0,500.0,1.0,Erotic,Male,v,2.7,4.8,20.0917,76.4888,3.8868,167601,1.4845,8.8924
S129,Female_017_v,21,6.077,Photograph,2500.0,500.0,red,1250.0,0.53,0.22,0.81,36,1.355,1000.0,500.0,0.42,Erotic,Female,v,5.75,7.2,30.0066,71.3798,7.3457,261977,11.5136,10.9459
S129,Female_003_v,22,5.371,Photograph,2500.0,500.0,red,1250.0,0.57,0.2,0.64,47,1.636,1000.0,500.0,1.0,Erotic,Female,v,5.1,7.0,71.1543,54.6216,7.4449,118707,7.0815,2.7069
S129,Male_001_v,23,5.634,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.14,0.0,2,2.706,1000.0,500.0,0.4,Erotic,Male,v,3.7,4.25,60.0397,72.0716,7.7395,265152,4.5447,6.449
S129,Male_011_v,24,3.614,Photograph,2500.0,500.0,red,1250.0,0.0,-0.14,0.0,53,1.488,1000.0,500.0,0.42,Erotic,Male,v,3.15,4.6,40.2007,66.7949,7.44,265717,8.1808,11.1864
S129,People_146_h,25,3.74,Photograph,2500.0,500.0,red,1250.0,0.0,-0.02,0.0,50,1.917,1000.0,500.0,1.0,Non-erotic,People,h,2.35,4.65,49.0548,56.7789,7.6988,343985,-1.4558,4.264
S129,People_132_h,26,3.519,Photograph,2500.0,500.0,red,1250.0,0.0,-0.02,0.0,32,1.319,1000.0,500.0,1.0,Non-erotic,People,h,3.5,4.9,46.8945,57.9992,7.5629,211838,-2.9026,11.8506
S129,Female_015_v,27,7.201,Photograph,2500.0,500.0,red,1250.0,0.0,0.02,0.35,51,1.311,1000.0,500.0,0.59,Erotic,Female,v,5.55,7.3,65.2389,53.402,7.5418,171124,8.0169,14.7847
S129,People_187_h,28,9.725,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.36,0.29,39,1.2,1000.0,500.0,0.64,Non-erotic,People,h,4.55,6.9,48.6317,72.6593,7.9149,445830,-1.5361,3.8181
S129,Male_023_v,29,3.962,Photograph,2500.0,500.0,red,1250.0,0.0,-0.02,0.0,29,1.768,1000.0,500.0,0.45,Erotic,Male,v,3.0,5.05,51.0533,59.4542,7.7168,201176,12.5798,16.3443
S129,Male_006_v,30,3.367,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.56,0.0,9,2.485,1000.0,500.0,0.58,Erotic,Male,v,4.8,2.95,26.1872,40.1914,7.0614,206880,7.5483,10.2363
S129,Male_024_h,31,4.357,Photograph,2500.0,500.0,red,1250.0,0.0,-0.22,0.0,43,1.562,1000.0,500.0,1.0,Erotic,Male,h,2.6,4.5,35.3457,44.1672,7.3268,201056,11.8279,13.8626
S129,People_172_v,32,3.318,Photograph,2500.0,500.0,red,1250.0,0.0,0.12,0.0,34,1.303,1000.0,500.0,0.48,Non-erotic,People,v,4.35,7.15,49.9957,56.3597,7.6186,359216,-8.8494,0.6884
S129,Female_016_h,33,6.212,AI-Generated,2500.0,500.0,blue,1250.0,0.02,0.08,0.27,7,2.675,1000.0,500.0,0.89,Erotic,Female,h,4.5,6.65,52.7456,37.7359,7.2035,198286,33.7434,20.4305
S129,Faces_335_h,34,3.67,Photograph,2500.0,500.0,red,1250.0,0.0,0.0,0.0,19,1.562,1000.0,500.0,1.0,Non-erotic,Faces,h,2.5,5.55,38.8455,76.9787,7.6725,194229,0.9408,3.6752
S129,Faces_160_v,35,4.004,Photograph,2500.0,500.0,red,1250.0,0.0,0.0,0.0,11,1.445,1000.0,500.0,0.67,Non-erotic,Faces,v,2.95,4.8,43.744,85.794,7.5611,145663,7.3603,10.0906
S129,Female_009_h,36,4.726,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.0,0.76,1,2.641,1000.0,500.0,1.0,Erotic,Female,h,5.55,6.9,43.0143,73.5278,6.6181,176869,11.341,22.514
S129,Male_008_v,37,4.653,Photograph,2500.0,500.0,red,1250.0,0.0,-0.04,0.0,35,1.347,1000.0,500.0,0.18,Erotic,Male,v,4.45,3.4,49.8422,61.1046,7.609,207491,14.1516,16.1108
S129,Male_003_v,38,5.447,Photograph,2500.0,500.0,red,1250.0,0.0,-0.04,0.0,55,1.57,1000.0,500.0,0.0,Erotic,Male,v,3.65,4.2,46.1739,49.4077,7.4926,228056,3.5967,7.3901
S129,Male_017_v,39,3.641,Photograph,2500.0,500.0,red,1250.0,0.0,-0.02,0.0,28,1.249,1000.0,500.0,0.4,Erotic,Male,v,4.0,3.8,31.538,56.3546,7.2051,276400,5.2385,7.6499
S129,Female_020_v,40,4.797,Photograph,2500.0,500.0,red,1250.0,0.0,0.0,0.54,40,2.544,1000.0,500.0,0.59,Erotic,Female,v,6.2,7.35,50.7307,36.7955,7.0191,173444,4.4367,4.5166
S129,Male_013_v,41,4.903,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.26,0.0,45,1.434,1000.0,500.0,0.46,Erotic,Male,v,3.75,3.7,44.0686,86.7349,7.4514,293448,11.5375,24.8859
S129,Male_022_v,42,4.476,Photograph,2500.0,500.0,red,1250.0,0.0,-0.2,0.0,59,4.36,1000.0,500.0,0.17,Erotic,Male,v,5.15,3.1,43.1253,52.5585,7.6091,257785,2.6258,12.346
S129,Faces_328_v,43,4.017,Photograph,2500.0,500.0,red,1250.0,0.0,-0.02,0.0,20,1.425,1000.0,500.0,0.86,Non-erotic,Faces,v,2.7,4.85,35.5883,57.6711,7.3988,171031,-0.3112,-1.7416
S129,Faces_234_h,44,3.588,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.0,0.0,41,1.254,1000.0,500.0,0.61,Non-erotic,Faces,h,4.0,6.2,41.9783,67.2103,7.8073,506847,-3.0751,15.1934
S129,Male_002_v,45,3.662,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.08,0.0,46,1.482,1000.0,500.0,0.4,Erotic,Male,v,2.85,4.0,42.743,65.8985,7.7155,221793,11.6582,-3.6073
S129,People_056_h,46,3.509,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.08,0.0,21,2.665,1000.0,500.0,0.57,Non-erotic,People,h,2.15,5.15,37.8293,68.5276,7.7565,159859,-0.427,2.1235
S129,Male_014_v,47,4.048,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.06,0.0,16,1.862,1000.0,500.0,0.81,Erotic,Male,v,3.95,3.6,73.0604,48.9227,7.2601,151861,3.9097,2.0474
S129,Female_023_h,48,5.327,Photograph,2500.0,500.0,red,1250.0,0.0,0.06,0.34,22,1.403,1000.0,500.0,1.0,Erotic,Female,h,5.4,6.85,20.4158,63.53,6.0347,214797,1.8632,7.0814
S129,Female_004_v,49,4.86,Photograph,2500.0,500.0,red,1250.0,0.0,0.04,0.59,12,1.585,1000.0,500.0,0.59,Erotic,Female,v,5.8,7.25,66.2497,74.0566,6.894,218444,2.2245,-3.4638
S129,People_190_h,50,5.134,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.26,0.0,10,4.128,1000.0,500.0,0.81,Non-erotic,People,h,5.0,7.6,43.0061,55.7373,7.6983,385125,-0.7026,-13.3812
S129,People_116_h,51,5.729,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.14,0.09,24,1.268,1000.0,500.0,1.0,Non-erotic,People,h,3.95,6.55,36.0174,75.2758,7.6169,324300,-0.8448,-1.976
S129,Female_006_v,52,5.243,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.04,0.1,33,1.236,1000.0,500.0,0.45,Erotic,Female,v,5.7,7.1,63.1318,63.865,7.7492,186016,2.4502,14.6292
S129,Male_016_v,53,5.857,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.04,0.04,17,1.692,1000.0,500.0,0.72,Erotic,Male,v,3.6,3.5,50.2338,45.7527,7.4858,216444,12.4281,14.1233
S129,Female_012_v,54,4.67,Photograph,2500.0,500.0,red,1250.0,0.0,0.2,0.52,38,1.281,1000.0,500.0,0.62,Erotic,Female,v,5.15,7.05,57.6698,65.0532,7.8207,207243,4.5309,8.2501
S129,Female_013_h,55,6.352,AI-Generated,2500.0,500.0,blue,1250.0,0.04,0.12,0.67,8,1.814,1000.0,500.0,0.8,Erotic,Female,h,5.5,6.85,21.5101,68.6277,4.6639,137297,3.4277,3.1779
S129,Faces_314_h,56,3.765,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.04,0.0,30,1.564,1000.0,500.0,1.0,Non-erotic,Faces,h,3.3,5.25,60.1728,58.7845,7.6537,255417,-5.0633,-2.6592
S129,Female_019_h,57,4.47,AI-Generated,2500.0,500.0,blue,1250.0,0.03,0.02,0.56,42,1.223,1000.0,500.0,0.6,Erotic,Female,h,5.0,6.4,48.6266,36.3153,7.1507,254048,23.4717,33.9492
S129,People_157_h,58,5.231,AI-Generated,2500.0,500.0,blue,1250.0,0.0,0.0,0.0,26,1.211,1000.0,500.0,1.0,Non-erotic,People,h,3.05,5.25,39.5283,67.7615,7.7856,400343,4.2241,5.451
S129,Faces_352_h,59,5.478,Photograph,2500.0,500.0,red,1250.0,0.0,0.08,0.13,4,1.597,1000.0,500.0,1.0,Non-erotic,Faces,h,4.15,6.7,39.6994,55.2244,7.6593,293080,1.4487,1.8242
S129,Faces_184_h,60,3.515,AI-Generated,2500.0,500.0,blue,1250.0,0.0,-0.04,0.0,13,1.608,1000.0,500.0,1.0,Non-erotic,Faces,h,2.45,5.6,33.5125,62.699,7.5512,186474,11.1965,23.2193
