"Participant","Stimulus","Trial_Order_Phase1","Trial_Duration_Phase1","Rating_RT_Phase1","Cue_Color","Condition","Arousal","Enticing","Valence","Trial_Order_Phase2","Trial_Duration_Phase2","Rating_RT_Phase2","Realness","Gender","SexualOrientation"
"S184","Female_007_v",1,2,8027,"green","Fiction",3,4,6,1,1,782,-3,"Male","Heterosexual"
"S184","Female_016_h",2,2,8255,"red","Reality",1,1,6,1,1,1545,-3,"Male","Heterosexual"
"S184","Opposite-sex_couple_017_v",3,2,6349,"red","Reality",1,1,3,1,1,2530,3,"Male","Heterosexual"
"S184","Opposite-sex_couple_022_v",4,2,6383,"green","Fiction",0,2,2,1,1,1131,-2,"Male","Heterosexual"
"S184","Opposite-sex_couple_012_h",5,2,6831,"green","Fiction",2,3,4,1,1,1860,-3,"Male","Heterosexual"
"S184","Female_010_h",6,2,4342,"red","Reality",5,4,6,1,1,1252,1,"Male","Heterosexual"
"S184","Opposite-sex_couple_015_h",7,2,5610,"red","Reality",2,3,3,1,1,1001,2,"Male","Heterosexual"
"S184","Female_017_v",8,2,4735,"red","Reality",5,4,6,1,1,1436,-3,"Male","Heterosexual"
"S184","Opposite-sex_couple_008_h",9,2,13552,"red","Reality",2,3,3,1,1,770,3,"Male","Heterosexual"
"S184","Female_023_h",10,2,4098,"green","Fiction",4,4,5,1,1,1565,-1,"Male","Heterosexual"
"S184","Opposite-sex_couple_042_h",11,2,5917,"green","Fiction",1,0,3,1,1,1414,-3,"Male","Heterosexual"
"S184","Opposite-sex_couple_009_h",12,2,5273,"red","Reality",2,3,4,1,1,1480,0,"Male","Heterosexual"
"S184","Female_008_v",13,2,7251,"red","Reality",5,4,4,1,1,766,3,"Male","Heterosexual"
"S184","Female_012_v",14,2,3817,"green","Fiction",6,6,6,1,1,1156,-2,"Male","Heterosexual"
"S184","Female_013_h",15,2,6553,"red","Reality",2,4,3,1,1,775,-3,"Male","Heterosexual"
"S184","Opposite-sex_couple_033_v",16,2,11783,"red","Reality",2,2,3,1,1,1604,0,"Male","Heterosexual"
"S184","Female_005_v",17,2,4487,"green","Fiction",4,5,3,1,1,1004,2,"Male","Heterosexual"
"S184","Opposite-sex_couple_020_h",18,2,3933,"red","Reality",1,4,4,1,1,1999,2,"Male","Heterosexual"
"S184","Opposite-sex_couple_016_v",19,2,3691,"green","Fiction",0,0,2,1,1,1940,0,"Male","Heterosexual"
"S184","Female_009_h",20,2,2654,"green","Fiction",6,6,6,1,1,936,0,"Male","Heterosexual"
"S184","Opposite-sex_couple_001_v",21,2,4053,"green","Fiction",2,1,3,1,1,1195,0,"Male","Heterosexual"
"S184","Female_021_h",22,2,2090,"green","Fiction",6,6,6,1,1,1169,3,"Male","Heterosexual"
"S184","Opposite-sex_couple_024_h",23,2,3794,"green","Fiction",3,4,3,1,1,2176,2,"Male","Heterosexual"
"S184","Opposite-sex_couple_013_h",24,2,3209,"red","Reality",0,0,5,1,1,973,3,"Male","Heterosexual"
"S184","Female_003_v",25,2,1868,"green","Fiction",6,6,6,1,1,1238,3,"Male","Heterosexual"
"S184","Female_006_v",26,2,2114,"red","Reality",5,5,6,1,1,809,-3,"Male","Heterosexual"
"S184","Female_001_h",27,2,3209,"red","Reality",6,6,6,1,1,992,3,"Male","Heterosexual"
"S184","Female_019_h",28,2,2340,"green","Fiction",6,6,6,1,1,946,2,"Male","Heterosexual"
"S184","Female_011_h",29,2,5645,"green","Fiction",3,4,5,1,1,827,-3,"Male","Heterosexual"
"S184","Opposite-sex_couple_048_h",30,2,7663,"red","Reality",0,3,4,1,1,1580,2,"Male","Heterosexual"
"S184","Female_022_h",31,2,3193,"red","Reality",6,6,6,1,1,882,3,"Male","Heterosexual"
"S184","Female_025_h",32,2,3490,"red","Reality",4,5,4,1,1,993,-3,"Male","Heterosexual"
"S184","Opposite-sex_couple_018_h",33,2,6571,"red","Reality",0,0,0,1,1,1078,3,"Male","Heterosexual"
"S184","Opposite-sex_couple_025_h",34,2,2502,"green","Fiction",5,5,6,1,1,983,3,"Male","Heterosexual"
"S184","Opposite-sex_couple_007_h",35,2,3113,"green","Fiction",0,0,5,1,1,911,3,"Male","Heterosexual"
"S184","Opposite-sex_couple_023_h",36,2,3197,"red","Reality",0,0,0,1,1,1464,-2,"Male","Heterosexual"
"S184","Female_018_h",37,2,2320,"red","Reality",6,6,6,1,1,953,-1,"Male","Heterosexual"
"S184","Female_024_v",38,2,3206,"red","Reality",5,4,6,1,1,1156,-2,"Male","Heterosexual"
"S184","Opposite-sex_couple_011_h",39,2,3361,"green","Fiction",0,2,3,1,1,1157,-2,"Male","Heterosexual"
