Participant,Experiment_Duration,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Source,Gender,Age,Education,Student,Discipline,Ethnicity,Country,SexualOrientation,SexualStatus,StimuliChoice,Bait_Duration,BAIT_ImagesIssues,BAIT_ImageDistinctionBad,BAIT_Worry,BAIT_InterestingAI,BAIT_VideosRealistic,BAIT_ImagesRealistic,BAIT_TextDifferentiation,BAIT_ImpersonalAI,BAIT_TrustHuman,BAIT_Benefit,BAIT_ContentDetection,BAIT_UniqueHuman,BAIT_ImageDistinctionEasy,BAIT_ExpertAI,BAIT_Exciting,BAIT_PreferenceHuman,BAIT_EnvironmentReal,BAIT_ImitatingReality,BAIT_InnovativeAI,BAIT_Dangerous,BAIT_VideosIssues,BAIT_EmotionalHuman,BAIT_UnderstandingAI,BAIT_UserAI,BAIT_TextIssues,BAIT_TextRealistic,COPS_Duration,SexualActivity,COPS_Frequency_2,Feedback_NoFacesAttractive,Feedback_SomeFacesAttractive,Feedback_AIMoreAttractive,Feedback_AILessAttractive,Feedback_DiffObvious,Feedback_DiffSubtle,Feedback_DiffNone,Feedback_LabelsIncorrect,Feedback_LabelsReversed,Feedback_AllReal,Feedback_AllFake,Feedback_AllRealConfidence,Feedback_AllFakeConfidence,Feedback_Enjoyment,Feedback_Text,Instruction_Duration1,Instruction_Duration2,Eyetracking_Validation1_Mean,Eyetracking_Validation1_Max,Eyetracking_Validation1_Min,Eyetracking_Validation1_Distance,Eyetracking_Validation2_Mean,Eyetracking_Validation2_Max,Eyetracking_Validation2_Min,Eyetracking_Validation2_Distance
S001,26.343733333333333,21/01/2025,15:47:54,firefox,True,Android OS,980.0,1921.0,prolific,Female,38,High school,False,Prefer not to say,White,United Kingdom,Heterosexual,In a relationship and not open to dating,Prefer not to say,3.4362,3.0,1.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,0.13546666666666668,within the last 3 days,I haven't watched pornography in the past 30 days,False,True,False,False,False,False,False,False,False,False,False,,,2,,51.036,8.585,20.0,100.0,0.0,0.06528932004930056,20.0,100.0,0.0,0.04542189768082282
S002,32.53798333333334,27/01/2025,21:16:46,chrome,False,Windows 10,1517.0,716.0,prolific,Male,34,Other,Prefer not to say,Prefer not to say,Mixed,South Africa,Heterosexual,Single and open to dating,Prefer not to say,2.4191333333333334,0.0,4.0,5.0,0.0,0.0,5.0,6.0,3.0,6.0,4.0,0.0,6.0,0.0,0.0,4.0,5.0,2.0,2.0,0.0,4.0,6.0,6.0,0.0,2.0,4.0,0.0,0.5772666666666667,more than a year ago,I watched pornography twice in the past 30 days,False,True,False,True,False,False,True,False,False,False,False,,,4,"Fascinating question the study makes me ask myself: ""Do I know how to differentiate from AI & Human-Gernerated?"". Evidently, it feels like I don't. Thank you for the opportunity to participate.",156.786,37.839,0.0,0.0,0.0,149.76891463414444,3.2496012759170654,13.636363636363635,0.0,162.70851404583746
S003,39.44965,28/01/2025,12:48:47,edge-chromium,False,Windows 10,1358.0,650.0,prolific,Female,62,Doctorate,Prefer not to say,Medicine,Mixed,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,3.2555833333333335,2.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,4.0,6.0,5.0,3.0,6.0,3.0,6.0,5.0,3.0,5.0,5.0,0.0,2.0,4.0,5.0,6.0,6.0,5.0,0.45243333333333335,within the last 3 days,I watched pornography twice in the past 30 days,False,True,True,False,True,False,False,False,True,False,False,,,4,not yet but i enjoyed the experiment a lot,270.669,61.15,1.3333333333333335,13.333333333333334,0.0,58.60477786697835,,,,
S004,17.401566666666668,30/01/2025,18:36:41,chrome,False,Windows 10,2560.0,1269.0,prolific,Male,42,Master,False,Otther,White,United Kingdom,Homosexual,In a relationship and not open to dating,Prefer not to say,1.6833666666666667,4.0,3.0,1.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,5.0,4.0,3.0,5.0,4.0,1.0,2.0,2.0,2.0,5.0,4.0,5.0,0.17231666666666667,within the last month,I watched pornography multiple times a week,False,True,False,False,False,False,True,False,False,False,False,,,4,,3.974,6.178,17.081920903954803,100.0,0.0,125.26637708388341,9.946327683615818,38.983050847457626,0.0,115.60859368767213
S005,25.885916666666667,30/01/2025,20:52:11,chrome,False,Windows 10,1366.0,641.0,prolific,Female,22,High school,True,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.5748,4.0,3.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0,4.0,3.0,5.0,3.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,4.0,3.0,0.5130166666666667,within the last week,I watched pornography twice in the past 30 days,False,True,False,True,False,False,False,True,False,True,False,3.0,,3,,115.8,32.501,2.6900584795321634,15.789473684210526,0.0,92.25342730436182,9.743589743589743,50.0,0.0,74.56064805259521
S006,20.5886,30/01/2025,21:17:03,chrome,False,Windows 10,1536.0,730.0,prolific,Female,23,High school,True,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.7266333333333332,6.0,0.0,5.0,2.0,5.0,4.0,2.0,5.0,6.0,4.0,5.0,6.0,5.0,3.0,5.0,6.0,3.0,4.0,3.0,5.0,4.0,6.0,4.0,6.0,5.0,2.0,0.19868333333333332,within the last week,I watched pornography twice in the past 30 days,False,True,False,False,False,False,False,True,False,False,False,,,4,Study kept refreshing and forces one to start all over. In future please set it such that it continues where you left off.,4.345,23.079,2.3739177489177488,8.571428571428571,0.0,67.93544733324725,2.050420168067227,17.647058823529413,0.0,71.13291188660403
S007,33.60355,03/02/2025,14:27:17,chrome,False,Windows 10,1536.0,730.0,prolific,Female,23,Bachelor,False,Arts and Humanities,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,2.7674166666666666,0.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,4.0,6.0,6.0,6.0,5.0,3.0,1.0,6.0,5.0,5.0,5.0,6.0,0.7217833333333333,less than 24h ago,I watched pornography weekly,False,True,False,True,False,False,True,False,False,True,False,4.0,,4,I liked this experiment. keep them coming!,82.045,27.99,7.296902396259497,30.508474576271187,0.0,97.82912538396674,4.284239236314046,15.517241379310345,0.0,162.29889087733108
S008,49.97618333333333,03/02/2025,15:46:51,chrome,False,Windows 10,1366.0,641.0,prolific,Male,22,High school,True,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and open to dating,Prefer not to say,2.106866666666667,5.0,3.0,5.0,6.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,4.0,4.0,5.0,5.0,0.5259666666666667,within the last 3 days,I watched pornography twice in the past 30 days,False,True,True,False,False,False,False,False,False,True,False,4.0,,4,none,34.273,44.483,0.8333333333333333,8.333333333333332,0.0,85.59968586877753,3.9890074803867903,28.57142857142857,0.0,109.20239132666325
S009,20.81931666666667,04/02/2025,12:04:34,chrome,False,Windows 10,1336.0,589.0,prolific,Male,23,High school,True,Prefer not to say,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,1.0374833333333333,3.0,4.0,6.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,0.0,3.0,6.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,0.24428333333333332,within the last year,I watched pornography twice in the past 30 days,False,True,False,True,False,False,True,True,True,False,False,,,2,no,60.672,70.343,5.505649717514125,30.0,0.0,67.04826520278309,1.350574712643678,8.333333333333332,0.0,72.61422594037234
S010,29.451649999999997,04/02/2025,12:06:33,edge-chromium,False,Windows 10,1358.0,608.0,prolific,Female,40,Bachelor,False,Arts and Humanities,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,3.0780666666666665,4.0,1.0,1.0,3.0,4.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,0.44011666666666666,within the last month,I haven't watched pornography in the past 30 days,False,True,True,False,False,False,False,False,False,True,False,3.0,,3,,52.463,15.328,1.5254237288135593,13.559322033898304,0.0,118.6362557454311,1.1864406779661016,6.779661016949152,0.0,123.92209613375971
