"ID","Category","Nr","Orientation","Homo_Women_Valence","Homo_Women_Arousal","Homo_Men_Valence","Homo_Men_Arousal","Hetero_Women_Valence","Hetero_Women_Arousal","Hetero_Men_Valence","Hetero_Men_Arousal","Width","Height","Luminance","Contrast","JPEG_size80","LABL","LABA","LABB","Entropy","Description","total_arousal","total_valence"
"Opposite-sex_couple_001_v.jpg","Opposite-sex Couple",1,"v",4.65,3.1,6.5,3.8,6.65,4.2,6.1,4.6,1200,1600,123.7252,69.5985,189291,50.9569,4.8773,15.3441,7.8416,NA,8.8,12.75
"Opposite-sex_couple_002_h.jpg","Opposite-sex Couple",2,"h",5.95,3.55,6.05,2.8,6.6,5.7,6.6,4.85,1600,1200,147.5143,82.3112,244927,60.763,8.5758,13.1763,7.7336,NA,10.55,13.2
"Opposite-sex_couple_005_h.jpg","Opposite-sex Couple",5,"h",4.05,4.25,6.45,5.7,6.4,5.6,6.85,6.05,1600,1200,177.1434,63.0692,129078,71.3527,0.0823,2.7104,6.9023,NA,11.65,13.25
"Opposite-sex_couple_007_h.jpg","Opposite-sex Couple",7,"h",5.85,3.3,6.6,3.1,6.85,5.05,6.45,5.35,1600,1200,47.7613,57.3072,275394,22.6458,12.4804,7.915,6.5328,NA,10.4,13.3
"Opposite-sex_couple_008_h.jpg","Opposite-sex Couple",8,"h",5.9,3.65,5.4,3.75,6.75,5.3,6.95,5.6,1600,1200,39.3571,51.7477,119546,16.5249,6.2003,7.9397,4.6123,NA,10.9,13.7
"Opposite-sex_couple_009_h.jpg","Opposite-sex Couple",9,"h",6.1,3.6,6.1,3.5,6.95,4.95,6.5,5.1,1600,1200,93.6479,80.8616,186883,37.7181,1.8245,3.7651,7.5798,NA,10.05,13.45
"Opposite-sex_couple_011_h.jpg","Opposite-sex Couple",11,"h",5.5,3.05,6.75,3.7,7.55,4.8,6.1,4.3,1600,1200,128.7855,78.465,283429,52.5903,6.8592,8.7999,7.7598,NA,9.1,13.65
"Opposite-sex_couple_012_h.jpg","Opposite-sex Couple",12,"h",3,4.75,5.05,3.95,5.5,5.75,6.05,5.9,1600,1200,119.7231,48.3001,174501,51.0648,18.6779,27.0762,7.4745,NA,11.65,11.55
"Opposite-sex_couple_013_h.jpg","Opposite-sex Couple",13,"h",4.1,3.75,6.6,5.05,5.25,5.15,4.15,5.05,1600,1200,120.1783,55.1144,265017,49.891,3.8167,7.5893,7.6887,NA,10.2,9.4
"Opposite-sex_couple_014_h.jpg","Opposite-sex Couple",14,"h",4.2,4.3,4.45,4.6,4.9,5.25,5.45,5.3,1600,1200,70.3939,55.9046,170198,31.1618,19.8601,20.9606,7.1043,NA,10.55,10.35
