"ID","Category","Nr","Orientation","Homo_Women_Valence","Homo_Women_Arousal","Homo_Men_Valence","Homo_Men_Arousal","Hetero_Women_Valence","Hetero_Women_Arousal","Hetero_Men_Valence","Hetero_Men_Arousal","Width","Height","Luminance","Contrast","JPEG_size80","LABL","LABA","LABB","Entropy","Description"
"Opposite-sex_couple_002_h.jpg","Opposite-sex Couple",2,"h",5.95,3.55,6.05,2.8,6.6,5.7,6.6,4.85,1600,1200,147.5143,82.3112,244927,60.763,8.5758,13.1763,7.7336,NA
"Opposite-sex_couple_005_h.jpg","Opposite-sex Couple",5,"h",4.05,4.25,6.45,5.7,6.4,5.6,6.85,6.05,1600,1200,177.1434,63.0692,129078,71.3527,0.0823,2.7104,6.9023,NA
"Opposite-sex_couple_006_h.jpg","Opposite-sex Couple",6,"h",5.65,2.75,6.55,3.6,6.75,4.25,5.5,3.35,1600,1200,118.5461,67.315,287836,48.8917,6.1181,11.1487,7.8156,NA
"Opposite-sex_couple_007_h.jpg","Opposite-sex Couple",7,"h",5.85,3.3,6.6,3.1,6.85,5.05,6.45,5.35,1600,1200,47.7613,57.3072,275394,22.6458,12.4804,7.915,6.5328,NA
"Opposite-sex_couple_008_h.jpg","Opposite-sex Couple",8,"h",5.9,3.65,5.4,3.75,6.75,5.3,6.95,5.6,1600,1200,39.3571,51.7477,119546,16.5249,6.2003,7.9397,4.6123,NA
"Opposite-sex_couple_009_h.jpg","Opposite-sex Couple",9,"h",6.1,3.6,6.1,3.5,6.95,4.95,6.5,5.1,1600,1200,93.6479,80.8616,186883,37.7181,1.8245,3.7651,7.5798,NA
"Opposite-sex_couple_012_h.jpg","Opposite-sex Couple",12,"h",3,4.75,5.05,3.95,5.5,5.75,6.05,5.9,1600,1200,119.7231,48.3001,174501,51.0648,18.6779,27.0762,7.4745,NA
"Opposite-sex_couple_013_h.jpg","Opposite-sex Couple",13,"h",4.1,3.75,6.6,5.05,5.25,5.15,4.15,5.05,1600,1200,120.1783,55.1144,265017,49.891,3.8167,7.5893,7.6887,NA
"Opposite-sex_couple_014_h.jpg","Opposite-sex Couple",14,"h",4.2,4.3,4.45,4.6,4.9,5.25,5.45,5.3,1600,1200,70.3939,55.9046,170198,31.1618,19.8601,20.9606,7.1043,NA
"Opposite-sex_couple_015_h.jpg","Opposite-sex Couple",15,"h",6.05,3.35,6.65,4.05,7.4,5.35,6.55,5.05,1600,1200,92.9302,75.1764,164951,38.3611,6.0222,7.7653,7.5486,NA
"Opposite-sex_couple_016_v.jpg","Opposite-sex Couple",16,"v",5.5,2.85,6.75,3.95,7.6,5.75,6.5,4.65,1200,1600,58.3468,34.2728,193991,25.8676,15.3644,22.8825,6.9387,NA
"Opposite-sex_couple_017_v.jpg","Opposite-sex Couple",17,"v",5.15,3.15,6.45,3.75,6.95,5.8,6.8,5.55,1200,1600,56.3153,43.2164,199604,23.5619,6.3891,5.0569,6.988,NA
"Opposite-sex_couple_018_h.jpg","Opposite-sex Couple",18,"h",3.1,3.95,6.3,5.15,5.2,6.25,5.1,4.95,1600,1200,48.4754,20.2962,160728,22.2668,19.7776,23.7659,6.2371,NA
"Opposite-sex_couple_019_v.jpg","Opposite-sex Couple",19,"v",6.9,3.25,7.55,4.95,7.9,5.7,6.35,4.2,1200,1600,82.5098,61.2729,226298,34.0967,1.7536,6.91,7.585,NA
"Opposite-sex_couple_020_h.jpg","Opposite-sex Couple",20,"h",6,3.4,6.55,3.7,7,5.6,6.3,4.95,1600,1200,134.8088,59.7471,248017,55.3482,-1.1208,-1.4586,7.2655,NA
"Opposite-sex_couple_023_h.jpg","Opposite-sex Couple",23,"h",5.55,4.15,6.25,3.85,6.65,5.55,6.7,5.25,1600,1200,77.8579,72.0881,190248,31.8043,3.3207,4.7035,7.0663,NA
"Opposite-sex_couple_024_h.jpg","Opposite-sex Couple",24,"h",5.45,4.4,5.1,3.75,6.45,5.75,6.75,5.6,1600,1200,156.5165,64.8712,222144,63.8212,5.895,13.5005,7.414,NA
"Opposite-sex_couple_025_h.jpg","Opposite-sex Couple",25,"h",4.4,4.45,5.1,4.35,5.6,5.5,7.3,6.4,1600,1200,100.8693,49.8527,232724,43.3354,16.8426,26.7224,7.4546,NA
"Opposite-sex_couple_027_h.jpg","Opposite-sex Couple",27,"h",5.45,2.4,6.25,2.6,6.35,4.1,5.75,3.65,1600,1200,136.1679,59.2256,327184,56.0298,-0.0713,13.2166,7.7997,NA
"Opposite-sex_couple_030_v.jpg","Opposite-sex Couple",30,"v",5.35,3.55,6.15,3.25,5.85,4.3,5.6,4.3,1200,1600,118.2077,57.4348,247261,49.2454,9.1719,15.254,7.6377,NA
"Opposite-sex_couple_033_v.jpg","Opposite-sex Couple",33,"v",5.4,2.7,6.6,3.95,7.05,5,6.2,4.75,1200,1600,71.8415,67.3131,240015,30.0265,8.9049,4.1706,6.6794,NA
"Opposite-sex_couple_034_h.jpg","Opposite-sex Couple",34,"h",5,2.6,5.75,2.95,5.75,3.5,5.2,3.4,1600,1200,112.7509,66.354,216097,46.4443,6.2126,3.1862,7.6067,NA
"Opposite-sex_couple_036_h.jpg","Opposite-sex Couple",36,"h",5.25,2.9,6.3,3,6.5,4.3,5.55,3.1,1600,1200,129.9555,78.2123,182716,52.8624,5.0927,11.9645,7.8995,NA
"Opposite-sex_couple_041_v.jpg","Opposite-sex Couple",41,"v",5.55,2.45,6.45,3.05,6.7,3.7,5.85,3.4,1200,1600,182.158,67.5089,194353,73.3277,5.0851,3.9298,7.1388,NA
"Opposite-sex_couple_043_v.jpg","Opposite-sex Couple",43,"v",4.65,3.35,5.45,2.55,6.2,4.8,5.3,4,1200,1600,64.5956,56.8662,192603,26.4844,-0.7547,1.6832,7.3033,NA
"Opposite-sex_couple_048_h.jpg","Opposite-sex Couple",48,"h",5.15,2.7,6,2.95,6.75,5.2,5.75,3.9,1600,1200,39.7062,42.5091,135965,17.0385,6.2044,9.7063,6.3582,NA
"Male_couple_001_v.jpg","Male Couple",1,"v",4.7,3.3,5.7,4.15,5.25,4.65,4.65,3.5,1200,1600,134.2271,75.4355,362960,54.7692,6.4704,9.5249,7.7336,NA
"Male_couple_002_h.jpg","Male Couple",2,"h",6.25,3.55,7.8,6.35,4.65,4.05,3.65,4.1,1600,1200,89.4837,38.3564,205911,37.4875,-0.2515,6.5637,7.179,NA
"Male_couple_003_v.jpg","Male Couple",3,"v",6.2,3.55,7.05,4.95,5.25,4.25,3.75,3.8,1200,1600,163.458,52.8548,171950,66.5166,2.7684,-4.2231,7.4467,NA
"Male_couple_006_h.jpg","Male Couple",6,"h",6.25,3.55,7.6,5.35,5.6,4,4.65,2.9,1600,1200,143.2681,64.1905,343161,58.501,3.4827,6.3648,7.5899,NA
"Male_couple_007_v.jpg","Male Couple",7,"v",5.05,3.4,7.65,5.85,5.25,4.4,4.2,4.05,1200,1600,163.6007,34.7375,179516,67.2865,-0.1492,-1.6924,6.7861,NA
"Male_couple_008_h.jpg","Male Couple",8,"h",5.9,3.1,7.25,4.3,5.3,3.2,4.45,3.25,1600,1200,137.3406,53.6679,426254,56.7442,7.9832,3.7507,7.4524,NA
"Male_couple_009_v.jpg","Male Couple",9,"v",3.65,3.7,6.4,5.3,3.7,4.8,2.35,5.4,1200,1600,109.8661,55.2816,260182,46.9517,17.3454,23.3053,7.6829,NA
"Male_couple_010_h.jpg","Male Couple",10,"h",4.55,3.1,7.15,4.9,4.35,4.6,3.1,4,1600,1200,129.8574,55.7967,265521,53.8929,6.0205,3.7748,7.6787,NA
"Male_couple_011_v.jpg","Male Couple",11,"v",4.65,2.9,7,5.7,4.4,4.55,3.7,3.95,1200,1600,64.3249,80.2244,166041,26.2942,6.009,10.2511,6.72,NA
"Male_couple_012_v.jpg","Male Couple",12,"v",5.35,2.65,7.5,6,5.2,3.85,3.9,3.7,1200,1600,122.2359,55.8982,356017,51.6895,10.2702,12.2373,7.7737,NA
"Male_couple_013_h.jpg","Male Couple",13,"h",6.6,4.1,7.95,5.85,6.05,4.1,4.6,3.55,1600,1200,134.1154,73.0222,231525,55.2798,-2.2027,4.6598,7.4902,NA
"Male_couple_014_h.jpg","Male Couple",14,"h",4.6,3,7.4,6.2,4.15,5.15,2.6,5.6,1600,1200,106.9491,74.69,288191,44.8562,-0.1825,1.145,7.445,NA
"Male_couple_015_v.jpg","Male Couple",15,"v",3.2,4.8,6.8,5.65,4.2,5.95,3.15,5.6,1200,1600,103.9613,48.3338,111341,46.9837,22.1316,53.6395,7.3437,NA
"Male_couple_016_h.jpg","Male Couple",16,"h",5.55,3,7.95,6.85,4.7,4.25,3.25,4.1,1600,1200,104.9909,61.8847,199792,43.5508,6.7025,9.6391,7.7563,NA
"Male_couple_018_h.jpg","Male Couple",18,"h",6.7,3.9,7.55,4.8,5.75,3.95,4.5,2.8,1600,1200,98.8075,39.8044,528281,41.753,-9.6718,19.8907,7.2262,NA
"Male_couple_019_h.jpg","Male Couple",19,"h",3.85,4.05,6.55,5,3.85,4.8,2.85,5.4,1600,1200,115.2446,73.8637,211380,47.8506,8.9456,4.4504,7.513,NA
"Male_couple_020_h.jpg","Male Couple",20,"h",3.45,4.75,5.15,5.6,3.4,5.5,1.85,6.95,1600,1200,102.4761,61.1341,233335,42.6955,10.24,4.9908,7.5227,NA
"Male_couple_021_h.jpg","Male Couple",21,"h",6.35,3.1,7.8,5.65,5.85,4.4,4,3.65,1600,1200,108.2571,51.09,196656,44.8661,1.8777,-6.5466,7.5663,NA
"Male_couple_022_v.jpg","Male Couple",22,"v",4.65,3.9,6.7,5.9,4.65,5.25,3.35,4.85,1200,1600,60.727,34.2341,140757,26.7492,-8.3328,-6.3093,6.8234,NA
"Male_couple_023_v.jpg","Male Couple",23,"v",3.45,4.6,7.15,6.65,4.35,5.3,1.95,6.6,1200,1600,46.7429,46.5517,283516,20.6063,14.5116,11.3962,6.4646,NA
"Male_couple_024_h.jpg","Male Couple",24,"h",4.55,3.1,7.2,5.6,6.55,5.3,4.45,4.15,1600,1200,100.8684,66.8073,247201,41.6405,2.9857,6.8673,7.6836,NA
"Male_couple_025_v.jpg","Male Couple",25,"v",3.9,3.05,7.4,5.9,4.8,5,2.4,5.15,1200,1600,64.9355,55.1917,142199,27.8636,12.7703,19.4808,7.2299,NA
"Male_couple_029_h.jpg","Male Couple",29,"h",5.5,2.65,7.25,5.35,4.65,3.75,3.6,3.6,1600,1200,46.8055,68.3009,184235,19.0595,5.7954,6.5674,5.8536,NA
"Male_couple_030_v.jpg","Male Couple",30,"v",4.65,2.9,6.55,3.95,3.95,4.35,3.2,4.3,1200,1600,117.9663,73.8539,249671,48.5226,9.1431,10.0408,7.9008,NA
"Male_couple_032_h.jpg","Male Couple",32,"h",5.05,3.45,6.35,4.15,4.3,4.15,3.05,4.15,1600,1200,110.0264,68.578,213034,45.3563,1.6695,12.8467,7.8563,NA
"Male_couple_035_h.jpg","Male Couple",35,"h",5.8,2.65,6.6,3.6,4.75,3.3,3.8,3.75,1600,1200,98.1699,93.2863,271081,40.5279,7.5966,-2.5397,7.2567,NA
"Male_couple_038_v.jpg","Male Couple",38,"v",4.75,3.55,5.15,4.1,3.55,5.1,2.85,4.75,1200,1600,82.8237,70.7913,222108,34.7736,12.1449,8.9175,7.4163,NA
"Male_couple_040_h.jpg","Male Couple",40,"h",5.4,2.75,6.3,3.4,4.55,3.3,3.25,4,1600,1200,80.6663,67.9049,185929,32.9772,4.0066,2.4201,7.4437,NA
"Male_couple_042_h.jpg","Male Couple",42,"h",5.55,2.85,6.45,3.3,4.8,3.75,3.6,3.45,1600,1200,85.3736,60.6672,230126,35.2394,3.9279,1.7698,7.6065,NA
"Male_couple_044_h.jpg","Male Couple",44,"h",5.25,3.45,7.15,4.75,5.05,4,3.15,4.45,1600,1200,50.8484,49.1775,158041,20.6794,4.4175,2.1516,6.941,NA
"Male_couple_049_h.jpg","Male Couple",49,"h",6.45,3.55,7.05,4.5,5.25,3.4,3.65,3.35,1600,1200,88.8693,81.3885,154934,36.4238,0.8832,0.6697,6.1292,NA
"Female_couple_001_h.jpg","Female Couple",1,"h",5.15,3.15,5.6,2.9,4.9,3.65,6.15,4.45,1600,1200,109.8475,67.2034,277944,46.7683,14.1759,9.342,7.8667,NA
"Female_couple_002_v.jpg","Female Couple",2,"v",7.7,5.85,5.2,3.3,5.05,4.15,6.8,5.75,1200,1600,146.0327,75.185,160622,59.204,2.4982,7.1034,7.6205,NA
"Female_couple_003_h.jpg","Female Couple",3,"h",7.45,5.65,5.9,2.85,5.85,3.95,6.3,4.9,1600,1200,99.3429,67.7808,314154,40.8859,6.1159,4.937,7.7539,NA
"Female_couple_004_h.jpg","Female Couple",4,"h",5.4,4.25,4.5,3.5,4.1,4.45,6.6,5.2,1600,1200,104.027,57.3645,202242,44.7724,19.4888,25.9997,7.6502,NA
"Female_couple_005_v.jpg","Female Couple",5,"v",5,3.6,4.95,4.2,3.95,4.6,3.8,4.15,1200,1600,138.8766,66.1014,179040,57.0347,10.0957,15.6947,7.3232,NA
"Female_couple_007_v.jpg","Female Couple",7,"v",5.9,3.25,6,2.7,4.9,3.6,4.5,3.2,1200,1600,99.9284,54.3831,193112,42.9596,14.3382,31.42,7.4251,NA
"Female_couple_008_v.jpg","Female Couple",8,"v",7.05,5,5.7,3.2,4.9,4,7,6,1200,1600,186.7866,60.5182,182179,75.3289,2.4955,12.0605,7.2475,NA
"Female_couple_009_v.jpg","Female Couple",9,"v",6.1,5.3,4.55,3.95,4.1,4.85,6.6,6.15,1200,1600,174.4187,66.3908,206233,70.9899,10.8028,13.6005,7.6796,NA
"Female_couple_010_h.jpg","Female Couple",10,"h",7.55,6.2,5.25,3.95,5.3,3.8,6.9,5.65,1600,1200,131.7351,78.2654,323501,53.9012,4.4331,12.9353,7.5833,NA
"Female_couple_012_v.jpg","Female Couple",12,"v",7.5,5.3,6.3,2.95,5.7,3.65,5.25,3.4,1200,1600,145.6083,65.9077,264401,60.0727,9.7176,5.6879,7.4012,NA
"Female_couple_013_h.jpg","Female Couple",13,"h",7,4.95,5.5,2.45,5.5,4.05,5.95,4.6,1600,1200,87.5693,70.4847,289911,36.7765,17.0172,14.2992,7.6096,NA
"Female_couple_014_v.jpg","Female Couple",14,"v",7.5,5.65,4.9,3.8,4.85,4.5,6.85,5.55,1200,1600,228.7257,24.427,117266,90.9819,6.2396,9.4348,6.1157,NA
